# Generated Laser Tracks with the following resolutions: 0.1 deg (horizontal) / 1 deg (vertical)
# angles measured from beam direction: horizontal (phi): counter-clockwise from beam direction
#                                      vertical (thetha): counter-clockwise (towards top) from beam direction
#  X[cm], Y[cm], Z[cm], thetha[deg], phi[deg] 
127.0 0.0 1025.0 107.6827 184.2095
127.0 0.0 1025.0 107.6827 184.3087
127.0 0.0 1025.0 107.6827 184.4079
127.0 0.0 1025.0 107.6827 184.5071
127.0 0.0 1025.0 107.6827 184.6063
127.0 0.0 1025.0 107.6827 184.7054
127.0 0.0 1025.0 107.6827 184.8046
127.0 0.0 1025.0 107.6827 184.9038
127.0 0.0 1025.0 107.6827 185.0030
127.0 0.0 1025.0 107.6827 185.1022
127.0 0.0 1025.0 107.6827 185.2014
127.0 0.0 1025.0 107.6827 185.3005
127.0 0.0 1025.0 107.6827 185.3997
127.0 0.0 1025.0 107.6827 185.4989
127.0 0.0 1025.0 107.6827 185.5981
127.0 0.0 1025.0 107.6827 185.6973
127.0 0.0 1025.0 107.6827 185.7964
127.0 0.0 1025.0 107.6827 185.8956
127.0 0.0 1025.0 107.6827 185.9948
127.0 0.0 1025.0 107.6827 186.0940
127.0 0.0 1025.0 107.6827 186.1932
127.0 0.0 1025.0 107.6827 186.2924
127.0 0.0 1025.0 107.6827 186.3915
127.0 0.0 1025.0 107.6827 186.4907
127.0 0.0 1025.0 107.6827 186.5899
127.0 0.0 1025.0 107.6827 186.6891
127.0 0.0 1025.0 107.6827 186.7883
127.0 0.0 1025.0 107.6827 186.8874
127.0 0.0 1025.0 107.6827 186.9866
127.0 0.0 1025.0 107.6827 187.0858
127.0 0.0 1025.0 107.6827 187.1850
127.0 0.0 1025.0 107.6827 187.2842
127.0 0.0 1025.0 107.6827 174.9661
127.0 0.0 1025.0 107.6827 175.0636
127.0 0.0 1025.0 107.6827 175.1611
127.0 0.0 1025.0 107.6827 175.2586
127.0 0.0 1025.0 107.6827 175.3561
127.0 0.0 1025.0 107.6827 175.4535
127.0 0.0 1025.0 107.6827 175.5510
127.0 0.0 1025.0 107.6827 175.6485
127.0 0.0 1025.0 107.6827 175.7460
127.0 0.0 1025.0 107.6827 175.8434
127.0 0.0 1025.0 107.6827 175.9409
127.0 0.0 1025.0 107.6827 176.0384
127.0 0.0 1025.0 107.6827 176.1359
127.0 0.0 1025.0 107.6827 176.2333
127.0 0.0 1025.0 107.6827 176.3308
127.0 0.0 1025.0 107.6827 176.4283
127.0 0.0 1025.0 107.6827 176.5258
127.0 0.0 1025.0 107.6827 176.6232
127.0 0.0 1025.0 107.6827 176.7207
127.0 0.0 1025.0 107.6827 176.8182
127.0 0.0 1025.0 107.6827 176.9157
